sample_id,quote_id,quote_text
top1942:6157,q00513,"Our life is like a land journey, too even and easy and dull over long distances across the plains, too hard and painful up the steep grades; but, on the summits of the mountain, you have a magnificent view--and feel exalted--and your eyes are full of happy tears--and you want to sing--and wish you had wings! And then--you can't stay there, but must continue your journey--you begin climbing down the other side, so busy with your footholds that your summit experience is forgotten."
top1942:6157,q00514,"That's what is wrong. Jesus commands us to carry on his work, no matter at what cost in privation, pain, and hazard of life; and all we've accomplished is a free boarding-house and loafing-place for anybody who will say, ""I believe."
top1942:6157,q00515,"It is a queer thing. In a time of great need, when powerful leadership is demanded, the people—confused and excited—hear only the strident voices of the audacious, and refuse to listen to the voice of wisdom which, being wise, is temperate."
top1942:6157,q00516,"This faith, is not like a deed to a house in which one may live with full rights of possession. It is more like a kit of tools with which a man may build himself a house. The tools will be worth just what he does with them. When he lays them down, they will have no value until he takes them up again."
top1942:6157,q00517,"So much the better. The higher the price you have to pay, the more you will cherish it."
top1942:6157,q00518,"For many years a tree might wage a slow and silent warfare against an encumbering wall, without making any visible progress. One day the wall would topple--not because the tree had suddenly laid hold upon some supernormal energy, but because its patient work of self-defense and self release had reached fulfillment. The long-imprisoned tree had freed itself. Nature had had her way."
top1942:6157,q00519,"A talent for truth is real property. If a man loves truth better than things, people like to be around where he is. Almost everybody wishes he could be honest, but you can’t have the spirit of truth when your heart is set on dickering for things."
top1942:6157,q00520,"He was oppressed and afflicted, yet he opened not his mouth."
top1942:6157,q00521,"there is always something fundamentally wrong with a rich man or a king who pretends to be religious. Let the poor and helpless invoke the gods. That is what the gods are for—to distract the attention of the weak from their otherwise intolerable miseries. When an emperor makes much ado about religion, he is either cracked or crooked."
top1942:6157,q00522,There is no vanity so damaging to a man's character as pride over his good deeds!
top1942:6157,q00523,"Perhaps this general degradation was the result of too much crowding, too little privacy, too much noise. You couldn't be decent if you weren't intelligent; you couldn't be intelligent if you couldn't think—and who could think in all this racket? Add the stench to the confusion of cramped quarters, and who could be self-respecting?"
top1942:6157,q00524,"Hoarded things might easily become a menace; a mere fire-and-theft risk; a breeding-ground for destructive insects; a source of worry. Men would have plenty of anxieties, but there was no sense in accumulating worries over THINGS! That kind of worry destroyed your character. Even an unused coat, hanging in your closet—it wasn't merely a useless thing that did nobody any good; it was an active agent of destruction to your life. And your LIFE must be saved, at all costs. What would it advantage a man—Jesus had demanded—if he were to gain the whole world, and lose his own life?"
top1942:6157,q00525,"Marcellus cudgeled his memory. What did he know about Arpino? Delicious little melons! Arpino melons! And exactly the right time for them, too."
top1942:6157,q00526,Nor could you clarify this confusion by assuming that the old man had been a victim of hallucination. Bartholomew wasn’t that type of person. He was neither a liar nor a fool.
top1942:6157,q00527,"I never thought much about flowers until I made the close acquaintance of a man who knew all about them. You would have thought that the butterflies and flowers were friends of his. 'See how richly they are clad,' he said. 'Even King Solomon did not have such raiment."
top1942:6157,q00528,"Her voice was unusually deep toned for a girl, he thought. Girls were always screaming what they had to say. Her throaty voice made you feel you had known her a long time."
top1942:6157,q00529,"…they pick flowers, but they do not sweep the sky!"
top1942:6157,q00530,"Are men and beasts of the same category? Is there no essential difference between them in respect to the quality of their value?…It is an offense to the majesty of the human spirit; for if any man deserves to be regarded as of the same quality as a beast of burden, then no man has any dignity left."
top1942:6157,q00531,"Honorable men were keeping their word, my son, long before this Christian religion was proposed."
top1942:6157,q00532,"Lumea nu merită sacrificiul de a trăi pentru ea, cu atât mai puțin de a muri."
top1942:6157,q00533,"I used to pass the flowers by without seeing them, as almost every man does."
top1942:6157,q00534,But a change of government wouldn’t help. That wasn’t the trouble. The trouble was that the people couldn’t change each other or themselves.
