sample_id,quote_id,quote_text
top2010:3901,q02151,"Every couple needs to argue now and then. Just to prove that the relationship is strong enough to survive. Long-term relationships, the ones that matter, are all about weathering the peaks and the valleys."
top2010:3901,q02152,"She wasnt exactly sure when it happened. Or even when it started. All she knew for sure was that right here and now, she was falling hard and she could only pray that he was feeling the same way."
top2010:3901,q02153,"Love doesn't mean anything if you're not willing to make a commitment, and you have to think not only about what you want, but about what he wants. Not just now, but in the future."
top2010:3901,q02154,"I've come to believe that in everyone's life, there's one undeniable moment of change, a set of circumstances that suddenly alters everything."
top2010:3901,q02155,"Deep in her heart, she wasn't sure she deserved to be happy, nor did she believe that she was worthy of someone who seemed...normal."
top2010:3901,q02156,"Everyone has a past, but that's just it--it's in the past. You can learn from it, but you can't change it."
top2010:3901,q02157,"That's the thing about life. A lot of the time, it isn't easy at all. We just have to try to make the best of it."
top2010:3901,q02158,"That he would love her no matter what she told him, and that he was the kind of man who loved her already and would love her forever."
top2010:3901,q02159,I'm not sure anyone's life turns out exactly the way they imagine. All we can do is to try to make the best of it. Even when it seems impossible.
top2010:3901,q02160,"Because everybody lies. It's part of living in society. Don't get me wrong-I think it's necessary. The last thing anyone wants is to live in a society where total honesty prevails. Can you imagine the conversations? You're short and fat, one person might say, and the other might answer, I know. But you smell bad. It just wouldn't work. So people lie by omission all the time. People will tell you most of the story...and I've learned that the part they neglect to tell you is often the most important part. People hide the truth because they're afraid."" -Jo"
top2010:3901,q02161,"If you love Alex now, then love him forever. Make him laugh again, and cherish the time you spend together. Take walks and ride your bikes, curl up on the couch and watch movies beneath a blanket. Make him breakfast, but don't spoil him. Let him make breakfast for you as well, so he can show you he thinks you're special. Kiss him and make love to him and consider yourself lucky for having met him, for he's the kind of man who'll prove you right."
top2010:3901,q02162,"Because being comfortable meant she might lower her guard, and she could not let that happen."
top2010:3901,q02163,Maybe I don't want to be defined by what I do. Maybe I'd like to be defined by what I am.
top2010:3901,q02164,"I just tell people what they already know, but are afraid to admit to themselves."
top2010:3901,q02165,It’s never too late to do the right thing.
top2010:3901,q02166,"because the past was always around her and might return at any time. It prowled the world searching for her, and she knew it was growing angrier at every passing day."
top2010:3901,q02167,"I think you're intelligent and charming, and that you're a person with a kind heart. I know that when you want to, you can look more beautiful than anyone I've ever met. You're independent, you've got a good sense of humor, and you show surprising patience with children."" -Alex"
top2010:3901,q02168,Little girls. They could melt the toughest hearts.
top2010:3901,q02169,"That's what courage is. If she weren't scared, she wouldn't need courage in the first place."" -Jo"
top2010:3901,q02170,"He always apologized, and sometimes he would even cry because of the bruises he'd made on her arms or legs or her back. He would say that he hated what he'd done, but in the next breath tell her she'd deserved it. That if she'd been more careful, it wouldn't have happened. That if she'd been paying attention or hadn't been so stupid, he wouldn't have lost his temper."
top2010:3901,q02171,Trust me on this: no one is better off alone.
top2010:3901,q02172,"but she realized that she wanted him to know her. She wanted him to understand her, if only because she had strange sense that he was the kind of man she could fall in love with, even if she didn't want to."
top2010:3901,q02173,"She was in a terrible marriage and she couldn't talk to anyone. He used to hit her, and in the beginning she told him that if it ever happened again, she would leave him. He swore that it wouldn't and she believed him. But it only got worse after that, like when his dinner was cold, or when she mentioned that she'd visited with one of the neighbors who was walking by with his dog. She just chatted with him, but that night, her husband threw her into a mirror."
top2010:3901,q02174,"If Alex has chosen you, then I want you to believe that I have chosen you as well."
top2010:3901,q02175,"How can I describe how much I love you?Is it even possible to describe a love like that? I don’t know, but as Isit here with pen in hand, I know that I have to try."
top2010:3901,q02176,"For them, it was nothing but an ordinary day on an ordinary day on an ordinary weekend, but for her, there was something revelatory about the notion that wonderful moments like these existed."
top2010:3901,q02177,Man and wife were supposed to stay together because they'd made their vows in front of God and family.
top2010:3901,q02178,"Katie smiled and turned away, knowing it wasn't an illusion or a figment of her imagination. She knew what she saw. She knew what she believed."
top2010:3901,q02179,Do you ever sit back and wonder what it all means? Whether this is it or if there's something greater out there? Or if you were meant for something better?
top2010:3901,q02180,"I love you, Katie. You might not be ready to say those words now, and maybe you'll never be able to say them, but that doesn't change how I feel about you."
top2010:3901,q02181,Makes sense to me. Sometimes starting over is exactly what a person needs. And I think it's admirable. A lot of people don't have the courage it takes to do something like that.
top2010:3901,q02182,I've wanted to go out with you from the first moment I saw you. I just had to wait until you were ready.
top2010:3901,q02183,"That was the dirty secret associated with her past. Not that she'd been abused but that somehow she felt that she deserved it because she'd let it happen. Even now, it shamed her, and there were times when she felt hideously ugly, as though the scars that had been left behind were visible to everyone."
top2010:3901,q02184,"We get a lot of the sky is falling on the weather reports, so when something big does hit, people never expect it. If it's not as bad as the reports predicted, we complain. If it's worse than expected, we complain. If it's just as bad as predicted, we complain about that, too, because we'll say that the reports are wrong so often, there was no way to know they'd be right this time. It just gives people something to complain about."
top2010:3901,q02185,"He thought of her often, and he missed the companionship they'd once shared and the friendship that had been the bedrock of their marriage at its best."
top2010:3901,q02186,"What? You don't think he's cute?""""I didn't really notice.""""How can you not notice when a guy is cute?"" Melody stared at her in disbelief."
top2010:3901,q02187,"I love you,"" he finally whispered. She leaned forward and touched his face. ""I know. And I love you, too."
top2010:3901,q02188,Then we'll find a way to work through all this together because I know I want to spend the rest of my life with you.
top2010:3901,q02189,"How about we talk about your love life instead?"" ""Why? Are you in the mood to be depressed?"
top2010:3901,q02190,I want you to be.... happy.
top2010:3901,q02191,There's nothing you can tell me that will change how I feel about you. Nothing. Because that isn't you. It's never been you. You're the woman I've come to know. The woman I love.
top2010:3901,q02192,Maybe I’d like tobe defined by what I am.
top2010:3901,q02193,"It was inevitable, of course, but somehow it didn't seem right to Alex that they would never remember the sound of Carly's laughter, or know how deeply she'd once loved them."
top2010:3901,q02194,"You think you know me, but I'm not sure that even I know who I am anymore."
top2010:3901,q02195,"Now as he watched Katie toying with a ring that wasn't there, he felt his old investigative instincts kick in. There'd been a husband, he thought; her husband was the missing element. Either she was still married or she wasn't, but he had an undeniable hunch that Katie was still afraid of him."
top2010:3901,q02196,"No buts,"" he said, ""because there are none. You see yourself as someone who couldn't get away. I see the courageous woman who escaped. You see yourself as someone who should be ashamed or guilty because she let it happen. I see a kind, beautiful woman who should feel proud because she stopped it from happening ever again. Not many women have the strength to do what you did.."
top2010:3901,q02197,"She liked to sit on the front porch in the afternoons and read books she'd checked out from the library. Aside from coffee, reading was her only indulgence."
top2010:3901,q02198,How can I tell them that I love them if I'm no longer there?
top2010:3901,q02199,"You know the real me,"" she said, stopping to peer up at him. ""More than anyone else."
